name,key,C_Major,C_minor,C#/D♭_Major,C#/D♭_minor,D_Major,D_minor,D#/E♭_Major,D#/E♭_minor,E_Major,E_minor,F_Major,F_minor,F#/G♭_Major,F#/G♭_minor,G_Major,G_minor,G#/A♭_Major,G#/A♭_minor,A_Major,A_minor,A#/B♭_Major,A#/B♭_minor,B_Major,B_minor
SACHIKO（ばんばひろふみ） ,E_Major,0,0,1,34,1,0,0,0,34,0,0,0,0,16,0,0,12,12,23,0,0,0,20,0
速達～初心者向け簡単Ver.～（ばんばひろふみ） ,C#/D♭_minor,1,0,2,36,0,0,0,0,17,1,0,0,0,18,0,0,14,20,18,0,0,0,25,0
街を走りぬけて（紙ふうせん） ,A#/B♭_Major,5,1,1,0,0,2,20,0,9,0,36,0,0,0,0,20,1,0,0,0,30,0,0,0
ハーモニー（紙ふうせん） ,D_Major,4,0,0,0,27,0,0,0,0,12,0,0,0,0,16,1,0,0,20,1,1,0,0,0
悲しき翼（紙ふうせん） ,A_Major,0,0,0,1,10,0,0,0,21,0,2,0,6,8,1,0,0,0,20,0,0,0,0,15
風はやさしく（紙ふうせん） ,C_Major,17,0,0,0,0,15,9,0,5,6,5,0,0,0,17,0,0,0,2,9,0,0,0,0
風の翼に（紙ふうせん） ,G_Major,23,0,0,0,24,0,0,0,2,7,0,0,0,0,20,0,0,0,0,6,0,0,2,2
いつも心に青空を（紙ふうせん） ,C_Major,53,0,0,0,0,12,0,0,0,0,22,0,1,0,27,0,0,0,0,9,0,0,0,0
誰に告げようか…（紙ふうせん） ,D_Major,0,0,0,0,19,0,0,0,0,6,0,0,8,2,21,0,0,0,24,0,4,0,0,40
十六夜日記（紙ふうせん） ,D#/E♭_Major,0,14,0,0,0,0,25,0,0,0,0,14,1,0,5,5,11,0,1,0,16,0,0,0
My life Your melody（175R） ,A_Major,0,0,0,0,19,0,0,0,33,0,0,0,0,10,0,0,0,0,29,0,0,0,0,0
My pretty dog（175R） ,D_Major,0,0,0,0,20,0,0,0,0,0,0,0,0,10,23,0,0,0,24,0,0,0,0,8
PICASSO（175R） ,C#/D♭_Major,0,0,36,0,0,0,0,0,0,0,0,0,35,0,0,0,53,0,0,0,0,24,0,0
I am Golden Head（175R） ,D_Major,0,0,0,0,12,0,0,0,0,2,0,0,0,0,12,0,0,0,31,0,0,0,0,9
Tiki Tiki BANG BANG!!（175R） ,E_Major,0,0,6,10,0,0,0,7,13,0,0,0,8,0,0,0,0,0,11,0,0,0,19,0
ORANGE feat.MCU（175R） ,C_Major,29,0,0,0,0,0,0,0,0,0,20,0,0,0,47,0,0,0,0,16,0,0,0,0
I'm happy（175R） ,C_Major,17,0,0,0,0,0,0,0,0,0,17,0,0,0,24,0,0,0,0,7,0,0,0,0
Freedom（175R） ,D_Major,0,0,0,0,24,0,0,0,0,0,0,0,7,0,27,0,0,0,37,0,0,0,0,17
W.O.W（175R） ,C_Major,19,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,15,0,0,0,0
Everything（175R） ,B_Major,0,0,1,4,0,0,0,0,25,0,0,0,3,0,0,0,0,2,0,0,0,0,27,0
